DateID,Day of week,Dayweek,Month,Year
Date387,Weekday,Thursday,5,2021
Date388,Weekend,Friday,9,2010
Date389,Weekday,Wednesday,3,1989
Date390,Weekend,Saturday,12,2003
Date391,Weekend,Saturday,3,2013
Date392,Weekday,Wednesday,10,2009
Date393,Weekend,Saturday,12,2001
Date394,Weekday,Wednesday,6,2011
Date395,Weekend,Friday,1,2008
Date396,Weekday,Friday,4,1995
Date397,Weekend,Saturday,3,2011
Date398,Weekend,Saturday,5,2014
Date399,Weekday,Monday,10,2010
Date400,Weekday,Tuesday,10,2022
Date401,Weekend,Friday,7,1995
Date402,Weekend,Friday,12,2002
Date403,Weekend,Saturday,3,1994
Date404,Weekend,Monday,1,2014
Date405,Weekday,Wednesday,4,1998
Date406,Weekend,Friday,10,2022
Date407,Weekend,Sunday,6,2012
Date408,Weekday,Wednesday,7,1996
Date409,Weekday,Friday,2,1998
Date410,Weekend,Monday,12,2020
Date411,Weekday,Tuesday,10,2001
Date412,Weekend,Friday,2,2013
Date413,Weekday,Tuesday,10,2005
Date414,Weekday,Monday,1,2005
Date415,Weekday,Friday,2,2015
Date416,Weekend,Monday,8,2016
Date417,Weekday,Thursday,9,2010
Date418,Weekend,Saturday,5,1997
Date419,Weekend,Monday,1,1990
Date420,Weekday,Thursday,5,2022
Date421,Weekend,Saturday,10,1991
Date422,Weekday,Thursday,6,2001
Date423,Weekday,Monday,10,2000
Date424,Weekday,Wednesday,7,1993
Date425,Weekday,Tuesday,4,2009
Date426,Weekend,Saturday,2,1990
Date427,Weekend,Monday,1,2019
Date428,Weekend,Saturday,9,1989
Date429,Weekday,Tuesday,2,2020
Date430,Weekend,Monday,5,1989
Date431,Weekend,Friday,12,2021
Date432,Weekend,Sunday,2,2012
Date433,Weekday,Monday,10,2019
Date434,Weekend,Saturday,5,2011
Date435,Weekday,Thursday,10,2009
Date436,Weekend,Friday,9,2006
Date437,Weekend,Saturday,3,2016
Date438,Weekday,Thursday,3,2017
Date439,Weekday,Wednesday,7,2002
Date440,Weekday,Thursday,1,1999
Date441,Weekend,Sunday,4,1996
Date442,Weekday,Friday,3,2001
Date443,Weekday,Wednesday,12,2002
Date444,Weekend,Sunday,5,2012
Date445,Weekday,Wednesday,5,2022
Date446,Weekend,Monday,3,1994
Date447,Weekend,Monday,3,2017
Date448,Weekday,Monday,5,2001
Date449,Weekend,Sunday,2,2023
Date450,Weekend,Monday,2,1993
Date451,Weekday,Monday,11,1992
Date452,Weekend,Sunday,10,2007
Date453,Weekday,Thursday,4,1990
Date454,Weekday,Tuesday,4,2019
Date455,Weekday,Thursday,12,2016
Date456,Weekday,Tuesday,12,2017
Date457,Weekend,Sunday,11,2011
Date458,Weekend,Monday,11,2001
Date459,Weekend,Saturday,11,2003
Date460,Weekend,Monday,6,2019
Date461,Weekday,Monday,3,2021
Date462,Weekend,Friday,8,2016
Date463,Weekday,Tuesday,11,2024
Date464,Weekend,Saturday,3,2018
Date465,Weekday,Wednesday,12,2022
Date466,Weekday,Monday,11,2009
Date467,Weekday,Wednesday,7,2008
Date468,Weekend,Monday,2,1999
Date469,Weekday,Thursday,11,2024
Date470,Weekend,Saturday,9,1992
Date471,Weekday,Monday,3,2023
Date472,Weekday,Wednesday,10,2015
Date473,Weekend,Friday,6,2012
Date474,Weekend,Sunday,5,2022
Date475,Weekday,Tuesday,4,2016
Date476,Weekday,Thursday,8,2008
Date477,Weekend,Monday,2,2016
Date478,Weekend,Saturday,8,1991
Date479,Weekday,Thursday,8,1996
Date480,Weekday,Wednesday,10,1989
Date481,Weekday,Thursday,7,2019
Date482,Weekday,Thursday,7,2012
Date483,Weekday,Monday,11,1991
Date484,Weekend,Monday,5,2019
Date485,Weekday,Tuesday,1,2011
Date486,Weekday,Monday,2,1992
Date487,Weekend,Saturday,2,2023
Date488,Weekend,Saturday,10,2020
Date489,Weekend,Sunday,9,2011
Date490,Weekday,Tuesday,9,1990
Date491,Weekday,Friday,9,1996
Date492,Weekday,Wednesday,5,2024
Date493,Weekend,Sunday,6,2018
Date494,Weekday,Wednesday,9,1992
Date495,Weekend,Monday,2,2005
Date496,Weekday,Thursday,7,1996
Date497,Weekday,Thursday,10,1995
Date498,Weekend,Saturday,3,2009
Date499,Weekday,Tuesday,6,2021
Date500,Weekend,Sunday,4,1991
Date501,Weekend,Monday,4,1990
Date502,Weekend,Monday,3,2007
Date503,Weekend,Sunday,7,2015
Date504,Weekday,Monday,5,1999
Date505,Weekday,Friday,1,2011
Date506,Weekday,Monday,3,2013
Date507,Weekday,Friday,8,2002
Date508,Weekday,Monday,2,1999
Date509,Weekend,Friday,1,2024
Date510,Weekday,Wednesday,3,2019
Date511,Weekend,Sunday,10,1999
Date512,Weekday,Friday,10,2012
Date513,Weekend,Sunday,10,1990
Date514,Weekend,Monday,10,2024
Date515,Weekend,Friday,2,2022
Date516,Weekend,Friday,1,2017
Date517,Weekend,Friday,11,2015
Date518,Weekend,Monday,11,1995
Date519,Weekday,Tuesday,6,2012
Date520,Weekend,Sunday,6,2013
Date521,Weekend,Sunday,11,2007
