GeoID,Ste Name21,Sa4 Name21,Lga Name21,National Remoteness Areas
Geo176,South Australia,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia
Geo177,New South Wales,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia
Geo178,Victoria,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia
Geo179,Queensland,Ipswich,Somerset,Inner Regional Australia
Geo180,New South Wales,New England and North West,Tenterfield,Outer Regional Australia
Geo181,New South Wales,Sydney - Inner South West,Georges River,Major Cities of Australia
Geo182,Western Australia,Western Australia - Outback (South),Ravensthorpe,Very Remote Australia
Geo183,Victoria,Melbourne - West,Maribyrnong,Major Cities of Australia
Geo184,South Australia,South Australia - South East,Mid Murray,Outer Regional Australia
Geo185,Queensland,Queensland - Outback,Doomadgee,Very Remote Australia
Geo186,Western Australia,Perth - Inner,Claremont,Major Cities of Australia
Geo187,Western Australia,Western Australia - Wheat Belt,Lake Grace,Remote Australia
Geo188,New South Wales,Riverina,Snowy Valleys,Inner Regional Australia
Geo189,New South Wales,Sydney - Sutherland,Sutherland,Major Cities of Australia
Geo190,New South Wales,Sydney - South West,Camden,Major Cities of Australia
Geo191,Victoria,Melbourne - North East,Banyule,Major Cities of Australia
Geo192,New South Wales,Sydney - Eastern Suburbs,Sydney,Major Cities of Australia
Geo193,Western Australia,Western Australia - Wheat Belt,Katanning,Outer Regional Australia
Geo194,South Australia,South Australia - South East,Alexandrina,Inner Regional Australia
Geo195,New South Wales,Sydney - Ryde,Parramatta,Major Cities of Australia
Geo196,New South Wales,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia
Geo197,South Australia,Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia
Geo198,Victoria,Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia
Geo199,Queensland,Queensland - Outback,Northern Peninsula Area,Very Remote Australia
Geo200,Victoria,Melbourne - West,Moorabool,Major Cities of Australia
Geo201,Victoria,Melbourne - West,Melton,Inner Regional Australia
Geo202,Queensland,Moreton Bay - South,Moreton Bay,Major Cities of Australia
Geo203,Northern Territory,Northern Territory - Outback,Coomalie,Remote Australia
Geo204,New South Wales,Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia
Geo205,Western Australia,Unknown,Unknown,Outer Regional Australia
Geo206,Western Australia,Western Australia - Outback (South),Meekatharra,Very Remote Australia
Geo207,Western Australia,Perth - South East,Kalamunda,Inner Regional Australia
Geo208,Tasmania,Launceston and North East,Northern Midlands,Outer Regional Australia
Geo209,New South Wales,Richmond - Tweed,Kyogle,Outer Regional Australia
Geo210,Western Australia,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia
Geo211,South Australia,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia
Geo212,Victoria,Melbourne - North West,Hume,Major Cities of Australia
Geo213,New South Wales,Central West,Cowra,Outer Regional Australia
Geo214,South Australia,South Australia - South East,Karoonda East Murray,Outer Regional Australia
Geo215,Western Australia,Bunbury,Harvey,Inner Regional Australia
Geo216,Victoria,Melbourne - North West,Brimbank,Major Cities of Australia
Geo217,South Australia,South Australia - Outback,Kimba,Remote Australia
Geo218,South Australia,South Australia - South East,Mid Murray,Inner Regional Australia
Geo219,Victoria,Melbourne - North East,Mitchell,Major Cities of Australia
Geo220,Victoria,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia
Geo221,Victoria,Melbourne - South East,Kingston (Vic.),Major Cities of Australia
Geo222,Western Australia,Bunbury,Capel,Inner Regional Australia
Geo223,South Australia,South Australia - South East,Berri Barmera,Outer Regional Australia
Geo224,New South Wales,New England and North West,Gunnedah,Outer Regional Australia
Geo225,Queensland,Queensland - Outback,Mornington,Very Remote Australia
Geo226,Victoria,Melbourne - North West,Macedon Ranges,Inner Regional Australia
Geo227,Western Australia,Western Australia - Wheat Belt,Albany,Outer Regional Australia
Geo228,Victoria,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia
Geo229,Victoria,Unknown,Unknown,Unknown
Geo230,New South Wales,Richmond - Tweed,Tweed,Inner Regional Australia
Geo231,Queensland,Ipswich,Ipswich,Inner Regional Australia
Geo232,New South Wales,Central Coast,Central Coast,Major Cities of Australia
Geo233,Tasmania,Launceston and North East,Flinders (Tas.),Very Remote Australia
Geo234,South Australia,South Australia - South East,Renmark Paringa,Outer Regional Australia
Geo235,New South Wales,Far West and Orana,Cobar,Very Remote Australia
Geo236,New South Wales,Murray,Edward River,Outer Regional Australia
Geo237,Western Australia,Perth - South East,Canning,Major Cities of Australia
Geo238,Queensland,Logan - Beaudesert,Logan,Major Cities of Australia
Geo239,New South Wales,Riverina,Murrumbidgee,Outer Regional Australia
Geo240,Northern Territory,Darwin,Palmerston,Outer Regional Australia
Geo241,Western Australia,Western Australia - Wheat Belt,Chittering,Outer Regional Australia
Geo242,Western Australia,Perth - Inner,Vincent,Major Cities of Australia
Geo243,Western Australia,Western Australia - Outback (North),Broome,Remote Australia
Geo244,Queensland,Mackay - Isaac - Whitsunday,Isaac,Remote Australia
Geo245,New South Wales,Sydney - North Sydney and Hornsby,Mosman,Major Cities of Australia
Geo246,Queensland,Cairns,Tablelands,Outer Regional Australia
Geo247,Queensland,Queensland - Outback,Bulloo,Very Remote Australia
Geo248,New South Wales,Illawarra,Wollondilly,Inner Regional Australia
Geo249,New South Wales,Sydney - Outer South West,Sutherland,Inner Regional Australia
Geo250,Victoria,Hume,Murrindindi,Inner Regional Australia
Geo251,New South Wales,Riverina,Leeton,Outer Regional Australia
Geo252,Queensland,Townsville,Palm Island,Remote Australia
Geo253,Western Australia,Western Australia - Outback (South),Esperance,Remote Australia
Geo254,South Australia,Adelaide - Central and Hills,Walkerville,Major Cities of Australia
Geo255,Western Australia,Perth - North East,Kalamunda,Inner Regional Australia
Geo256,Western Australia,Western Australia - Wheat Belt,Mount Marshall,Remote Australia
Geo257,South Australia,South Australia - Outback,Tumby Bay,Remote Australia
Geo258,South Australia,South Australia - South East,Victor Harbor,Inner Regional Australia
Geo259,Western Australia,Western Australia - Wheat Belt,Dowerin,Outer Regional Australia
Geo260,Queensland,Queensland - Outback,Etheridge,Very Remote Australia
Geo261,Western Australia,Western Australia - Outback (North),Ashburton,Very Remote Australia
Geo262,New South Wales,Sydney - Inner West,Burwood,Major Cities of Australia
Geo263,Northern Territory,Northern Territory - Outback,Victoria Daly,Remote Australia
Geo264,South Australia,Adelaide - Central and Hills,Unley,Major Cities of Australia
Geo265,Western Australia,Western Australia - Outback (South),Shark Bay,Very Remote Australia
Geo266,New South Wales,Sydney - Inner West,Strathfield,Major Cities of Australia
Geo267,Tasmania,Launceston and North East,Meander Valley,Inner Regional Australia
Geo268,Western Australia,Western Australia - Outback (South),Exmouth,Very Remote Australia
Geo269,Western Australia,Mandurah,Mandurah,Inner Regional Australia
Geo270,Victoria,North West,Yarriambiack,Remote Australia
Geo271,New South Wales,Riverina,Coolamon,Outer Regional Australia
Geo272,New South Wales,Mid North Coast,Kempsey,Outer Regional Australia
Geo273,New South Wales,Capital Region,Goulburn Mulwaree,Inner Regional Australia
Geo274,New South Wales,New England and North West,Uralla,Inner Regional Australia
Geo275,New South Wales,Central West,Forbes,Outer Regional Australia
Geo276,Western Australia,Perth - Inner,Nedlands,Major Cities of Australia
Geo277,Western Australia,Perth - South West,Melville,Major Cities of Australia
Geo278,Western Australia,Unknown,Unknown,Inner Regional Australia
Geo279,Queensland,Queensland - Outback,McKinlay,Very Remote Australia
Geo280,Queensland,Central Queensland,Central Highlands (Qld),Remote Australia
Geo281,New South Wales,Capital Region,Bega Valley,Outer Regional Australia
Geo282,Western Australia,Western Australia - Wheat Belt,Brookton,Outer Regional Australia
Geo283,Victoria,North West,Mildura,Outer Regional Australia
Geo284,New South Wales,Central West,Mid-Western Regional,Inner Regional Australia
Geo285,Western Australia,Western Australia - Outback (North),East Pilbara,Very Remote Australia
Geo286,New South Wales,Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia
Geo287,New South Wales,Central West,Cabonne,Inner Regional Australia
Geo288,Tasmania,Hobart,Brighton,Inner Regional Australia
Geo289,Victoria,Hume,Benalla,Outer Regional Australia
Geo290,South Australia,South Australia - South East,Tatiara,Outer Regional Australia
Geo291,Victoria,Hume,Wangaratta,Outer Regional Australia
Geo292,New South Wales,Richmond - Tweed,Lismore,Inner Regional Australia
Geo293,South Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia
Geo294,Queensland,Cairns,Yarrabah,Outer Regional Australia
Geo295,New South Wales,Far West and Orana,Gilgandra,Outer Regional Australia
Geo296,Western Australia,Western Australia - Wheat Belt,Boddington,Outer Regional Australia
Geo297,Western Australia,Western Australia - Wheat Belt,Yilgarn,Remote Australia
Geo298,Queensland,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia
Geo299,New South Wales,Sydney - Outer South West,Wollondilly,Inner Regional Australia
Geo300,Western Australia,Western Australia - Wheat Belt,Bruce Rock,Remote Australia
Geo301,New South Wales,Hunter Valley exc Newcastle,Dungog,Outer Regional Australia
Geo302,Queensland,Central Queensland,Central Highlands (Qld),Very Remote Australia
Geo303,New South Wales,Central West,Cowra,Inner Regional Australia
Geo304,Queensland,Wide Bay,Bundaberg,Inner Regional Australia
Geo305,New South Wales,Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia
Geo306,New South Wales,Sydney - Northern Beaches,Northern Beaches,Inner Regional Australia
Geo307,New South Wales,Sydney - Parramatta,The Hills,Major Cities of Australia
Geo308,New South Wales,Riverina,Junee,Inner Regional Australia
Geo309,New South Wales,Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia
Geo310,Northern Territory,Northern Territory - Outback,Unincorporated NT,Remote Australia
Geo311,Queensland,Townsville,Charters Towers,Very Remote Australia
Geo312,Western Australia,Western Australia - Wheat Belt,Pingelly,Outer Regional Australia
Geo313,Tasmania,Hobart,Derwent Valley,Inner Regional Australia
Geo314,South Australia,South Australia - Outback,Port Lincoln,Remote Australia
Geo315,New South Wales,Murray,Federation,Outer Regional Australia
Geo316,New South Wales,Newcastle and Lake Macquarie,Port Stephens,Major Cities of Australia
Geo317,Victoria,Hume,Yarra Ranges,Inner Regional Australia
Geo318,Victoria,Melbourne - West,Brimbank,Major Cities of Australia
Geo319,South Australia,South Australia - South East,Southern Mallee,Remote Australia
Geo320,New South Wales,Capital Region,Upper Lachlan,Outer Regional Australia
Geo321,South Australia,South Australia - Outback,Port Augusta,Outer Regional Australia
Geo322,New South Wales,Unknown,Unknown,Unknown
Geo323,New South Wales,Mid North Coast,Kempsey,Inner Regional Australia
Geo324,Tasmania,South East,Tasman,Outer Regional Australia
Geo325,South Australia,South Australia - Outback,Flinders Ranges,Outer Regional Australia
Geo326,New South Wales,New England and North West,Narrabri,Outer Regional Australia
Geo327,Western Australia,Perth - South East,Armadale,Major Cities of Australia
Geo328,Queensland,Logan - Beaudesert,Logan,Inner Regional Australia
Geo329,Western Australia,Perth - North East,Mundaring,Major Cities of Australia
Geo330,New South Wales,Sydney - North Sydney and Hornsby,Hornsby,Inner Regional Australia
Geo331,New South Wales,Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia
Geo332,Western Australia,Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia
Geo333,New South Wales,Murray,Murrumbidgee,Outer Regional Australia
Geo334,Tasmania,Launceston and North East,West Tamar,Outer Regional Australia
Geo335,Victoria,Bendigo,Loddon,Inner Regional Australia
Geo336,New South Wales,Far West and Orana,Cobar,Remote Australia
Geo337,Queensland,Toowoomba,Lockyer Valley,Inner Regional Australia
Geo338,New South Wales,Murray,Albury,Inner Regional Australia
Geo339,Western Australia,Western Australia - Outback (South),Cue,Very Remote Australia
Geo340,New South Wales,Far West and Orana,Bogan,Very Remote Australia
Geo341,Tasmania,West and North West,Devonport,Outer Regional Australia
Geo342,New South Wales,Murray,Balranald,Outer Regional Australia
Geo343,New South Wales,Murray,Greater Hume,Inner Regional Australia
Geo344,New South Wales,Mid North Coast,Mid-Coast,Inner Regional Australia
Geo345,Victoria,Geelong,Surf Coast,Inner Regional Australia
Geo346,New South Wales,Central West,Weddin,Outer Regional Australia
Geo347,Queensland,Queensland - Outback,Barcaldine,Very Remote Australia
Geo348,Victoria,Geelong,Greater Geelong,Major Cities of Australia
Geo349,Queensland,Gold Coast,Scenic Rim,Inner Regional Australia
Geo350,Tasmania,Hobart,Hobart,Inner Regional Australia
Geo351,Queensland,Queensland - Outback,Richmond,Very Remote Australia
Geo352,Victoria,Bendigo,Mount Alexander,Inner Regional Australia
Geo353,Victoria,Melbourne - Inner,Darebin,Major Cities of Australia
Geo354,New South Wales,Far West and Orana,Bogan,Remote Australia
Geo355,New South Wales,Sydney - City and Inner South,Inner West,Major Cities of Australia
Geo356,Queensland,Townsville,Charters Towers,Outer Regional Australia
Geo357,Western Australia,Western Australia - Wheat Belt,Wandering,Outer Regional Australia
Geo358,Queensland,Queensland - Outback,Flinders (Qld),Very Remote Australia
Geo359,Western Australia,Bunbury,Augusta Margaret River,Inner Regional Australia
Geo360,Western Australia,Bunbury,Manjimup,Outer Regional Australia
Geo361,Victoria,Warrnambool and South West,Corangamite,Outer Regional Australia
Geo362,New South Wales,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia
Geo363,Victoria,Melbourne - West,Wyndham,Inner Regional Australia
Geo364,Queensland,Brisbane - West,Brisbane,Major Cities of Australia
Geo365,Queensland,Queensland - Outback,Cloncurry,Very Remote Australia
Geo366,South Australia,Barossa - Yorke - Mid North,Goyder,Outer Regional Australia
Geo367,Western Australia,Western Australia - Wheat Belt,Wongan-Ballidu,Remote Australia
Geo368,Victoria,Melbourne - North East,Darebin,Major Cities of Australia
Geo369,Victoria,Melbourne - South East,Cardinia,Inner Regional Australia
Geo370,New South Wales,New England and North West,Narrabri,Remote Australia
Geo371,New South Wales,Far West and Orana,Unincorporated,Remote Australia
Geo372,Western Australia,Western Australia - Wheat Belt,Victoria Plains,Outer Regional Australia
Geo373,Queensland,Ipswich,Lockyer Valley,Inner Regional Australia
Geo374,Queensland,Darling Downs - Maranoa,Balonne,Very Remote Australia
Geo375,New South Wales,Riverina,Coolamon,Inner Regional Australia
Geo376,Western Australia,Bunbury,Bunbury,Inner Regional Australia
Geo377,New South Wales,Riverina,Cootamundra-Gundagai,Inner Regional Australia
Geo378,Victoria,Shepparton,Greater Shepparton,Inner Regional Australia
Geo379,Queensland,Moreton Bay - North,Somerset,Inner Regional Australia
Geo380,New South Wales,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia
Geo381,Western Australia,Western Australia - Wheat Belt,York,Inner Regional Australia
Geo382,Queensland,Wide Bay,Fraser Coast,Inner Regional Australia
Geo383,Western Australia,Western Australia - Wheat Belt,Merredin,Outer Regional Australia
Geo384,Western Australia,Western Australia - Wheat Belt,Beverley,Outer Regional Australia
Geo385,Queensland,Queensland - Outback,Mount Isa,Remote Australia
Geo386,Queensland,Central Queensland,Gladstone,Inner Regional Australia
Geo387,South Australia,Adelaide - South,Marion,Major Cities of Australia
Geo388,New South Wales,Far West and Orana,Walgett,Very Remote Australia
