FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality9558,20191248,NSW,7,1991,Tuesday,15:00:00.000000000,Multiple,No,No,No,100,Driver,Male,25,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,No,No,17_to_25,Weekday,Day,1
Fatality9559,20203089,Qld,12,1991,Wednesday,19:00:00.000000000,Single,No,No,No,100,Driver,Male,38,Remote Australia,Queensland - Outback,Cook,Collector Road,No,No,26_to_39,Weekday,Night,1
Fatality9560,20231233,NSW,3,1989,Saturday,21:30:00.000000000,Single,No,No,No,100,Driver,Male,43,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,No,No,40_to_64,Weekend,Night,3
Fatality9561,20222126,Vic,1,1989,Saturday,12:48:00.000000000,Single,No,No,No,100,Driver,Male,64,Inner Regional Australia,Hume,Mitchell,Sub-arterial Road,No,No,40_to_64,Weekend,Day,1
Fatality9562,20221243,NSW,12,1990,Tuesday,08:35:00.000000000,Multiple,No,No,No,100,Passenger,Female,84,Inner Regional Australia,Richmond - Tweed,Tweed,Local Road,No,No,75_or_older,Weekday,Day,1
Fatality9563,20164024,SA,5,1993,Thursday,08:15:00.000000000,Single,No,No,No,100,Pedestrian,Male,7,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,No,No,0_to_16,Weekday,Day,2
Fatality9564,20213247,Qld,7,1990,Wednesday,16:00:00.000000000,Single,No,No,No,50,Driver,Female,75,Major Cities of Australia,Brisbane - West,Brisbane,Local Road,No,No,75_or_older,Weekday,Day,1
Fatality9565,20162218,Vic,10,1993,Saturday,13:22:00.000000000,Single,No,No,No,60,Pedestrian,Male,59,Major Cities of Australia,Melbourne - West,Wyndham,Undetermined,No,No,40_to_64,Weekend,Day,1
Fatality9566,20194064,SA,5,1991,Tuesday,04:25:00.000000000,Single,No,No,No,80,Driver,Male,27,Major Cities of Australia,Adelaide - North,Gawler,Collector Road,No,No,26_to_39,Weekday,Night,1
Fatality9567,20162209,Vic,9,1993,Friday,16:25:00.000000000,Multiple,No,No,No,80,Driver,Male,85,Inner Regional Australia,Shepparton,Greater Shepparton,Undetermined,No,No,75_or_older,Weekday,Day,1
Fatality9568,20141032,NSW,6,1994,Friday,13:20:00.000000000,Single,No,No,No,60,Motorcycle rider,Male,26,Unknown,Unknown,Unknown,Undetermined,No,No,26_to_39,Weekday,Day,1
Fatality9569,20141247,NSW,3,1994,Thursday,21:40:00.000000000,Single,No,No,No,100,Driver,Male,22,Unknown,Unknown,Unknown,Undetermined,No,No,17_to_25,Weekday,Night,1
Fatality9570,20231013,NSW,2,1989,Thursday,15:36:00.000000000,Single,No,No,No,60,Pedal cyclist,Male,45,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9571,20213219,Qld,5,1990,Friday,23:00:00.000000000,Single,No,No,No,100,Pedestrian,Male,45,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,No,No,40_to_64,Weekend,Night,1
Fatality9572,20174066,SA,3,1992,Friday,23:20:00.000000000,Single,No,No,No,50,Driver,Male,18,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Local Road,No,No,17_to_25,Weekend,Night,1
