TimeID,Time of day,Time
Time501,Night,02:34:00.000000000
Time502,Day,14:56:00.000000000
Time503,Night,23:42:00.000000000
Time504,Day,15:19:00.000000000
Time505,Night,19:38:00.000000000
Time506,Night,03:43:00.000000000
Time507,Day,08:12:00.000000000
Time508,Day,16:06:00.000000000
Time509,Night,22:17:00.000000000
Time510,Night,06:40:00.000000000
Time511,Night,16:05:00.000000000
Time512,Night,05:12:00.000000000
Time513,Night,05:46:00.000000000
Time514,Day,09:34:00.000000000
Time515,Day,12:19:00.000000000
Time516,Night,20:34:00.000000000
Time517,Night,21:34:00.000000000
Time518,Night,01:35:00.000000000
Time519,Night,20:27:00.000000000
Time520,Day,13:56:00.000000000
Time521,Night,03:50:00.000000000
Time522,Night,21:26:00.000000000
Time523,Night,02:51:00.000000000
Time524,Night,13:10:00.000000000
Time525,Night,19:51:00.000000000
Time526,Night,05:09:00.000000000
Time527,Night,01:10:00.000000000
Time528,Night,06:45:00.000000000
Time529,Night,12:11:00.000000000
Time530,Night,20:22:00.000000000
Time531,Night,23:41:00.000000000
Time532,Day,08:02:00.000000000
Time533,Night,17:56:00.000000000
Time534,Day,11:04:00.000000000
Time535,Night,17:51:00.000000000
Time536,Night,01:51:00.000000000
Time537,Night,23:50:00.000000000
Time538,Day,09:25:00.000000000
Time539,Day,16:11:00.000000000
Time540,Day,15:14:00.000000000
Time541,Day,11:41:00.000000000
Time542,Night,21:11:00.000000000
Time543,Day,16:16:00.000000000
Time544,Day,08:45:00.000000000
Time545,Night,19:04:00.000000000
Time546,Day,10:38:00.000000000
Time547,Day,11:51:00.000000000
Time548,Day,15:56:00.000000000
Time549,Day,06:01:00.000000000
Time550,Day,13:54:00.000000000
Time551,Day,10:35:00.000000000
Time552,Day,16:45:00.000000000
Time553,Night,00:56:00.000000000
Time554,Night,04:13:00.000000000
Time555,Day,14:33:00.000000000
Time556,Day,17:42:00.000000000
Time557,Night,02:49:00.000000000
Time558,Day,10:11:00.000000000
Time559,Day,09:41:00.000000000
Time560,Day,06:39:00.000000000
Time561,Night,04:21:00.000000000
Time562,Night,05:23:00.000000000
Time563,Night,02:32:00.000000000
Time564,Night,04:59:00.000000000
Time565,Night,00:04:00.000000000
Time566,Day,09:45:00.000000000
Time567,Day,14:08:00.000000000
Time568,Night,21:13:00.000000000
Time569,Night,23:24:00.000000000
Time570,Day,09:03:00.000000000
Time571,Night,22:52:00.000000000
Time572,Night,10:42:00.000000000
Time573,Day,12:59:00.000000000
Time574,Day,17:21:00.000000000
Time575,Night,01:02:00.000000000
Time576,Day,12:49:00.000000000
Time577,Night,03:31:00.000000000
Time578,Day,14:04:00.000000000
Time579,Night,02:18:00.000000000
Time580,Night,22:38:00.000000000
Time581,Day,13:32:00.000000000
Time582,Night,22:02:00.000000000
Time583,Night,23:58:00.000000000
Time584,Day,14:53:00.000000000
Time585,Night,04:06:00.000000000
Time586,Night,04:14:00.000000000
Time587,Day,12:40:00.000000000
Time588,Night,21:06:00.000000000
Time589,Day,10:40:00.000000000
Time590,Day,15:30:00.000000000
Time591,Day,07:57:00.000000000
Time592,Day,11:16:00.000000000
Time593,Night,01:17:00.000000000
Time594,Night,01:49:00.000000000
Time595,Day,13:40:00.000000000
Time596,Night,04:52:00.000000000
Time597,Day,09:53:00.000000000
Time598,Day,17:47:00.000000000
Time599,Night,00:23:00.000000000
Time600,Day,10:18:00.000000000
Time601,Night,00:41:00.000000000
Time602,Night,01:05:00.000000000
Time603,Day,16:27:00.000000000
Time604,Night,17:00:00.000000000
Time605,Night,06:44:00.000000000
Time606,Day,11:25:00.000000000
Time607,Night,16:35:00.000000000
Time608,Day,09:47:00.000000000
Time609,Day,14:10:00.000000000
Time610,Day,06:10:00.000000000
Time611,Day,07:52:00.000000000
Time612,Day,07:50:00.000000000
Time613,Night,22:51:00.000000000
Time614,Night,03:03:00.000000000
Time615,Day,12:16:00.000000000
